qseqid,sseqid,length,qcovs,pident,evalue,staxids,stitle
unassigned_86,gi|219846874|ref|NR_026466.1|,66,26,75.758,2.72e-04,81943,Methylocella palustris strain K 16S ribosomal RNA, partial sequence
unassigned_86,gi|343200883|ref|NR_041570.1|,61,24,77.049,2.72e-04,424488,Cerasicoccus arenae strain YM26-026 16S ribosomal RNA, partial sequence
unassigned_87,gi|219846922|ref|NR_026514.1|,247,97,76.113,9.45e-42,33942,Brevibacillus thermoruber strain BT2 16S ribosomal RNA, partial sequence
unassigned_87,gi|1397641730|ref|NR_156839.1|,249,97,76.305,3.30e-41,1355755,Paenibacillus eucommiae strain I12B-01101 16S ribosomal RNA, partial sequence
unassigned_87,gi|672238868|ref|NR_125456.1|,245,96,75.918,1.15e-40,1125967,Brevibacillus fulvus strain K2814 16S ribosomal RNA, partial sequence
unassigned_87,gi|631251016|ref|NR_112213.1|,247,97,75.709,1.15e-40,33942,Brevibacillus thermoruber strain DSM 7064 16S ribosomal RNA, partial sequence
unassigned_87,gi|645322140|ref|NR_118956.1|,247,97,75.709,1.15e-40,1464,Paenibacillus larvae strain ATCC 9545 16S ribosomal RNA, partial sequence
unassigned_87,gi|636558401|ref|NR_114457.1|,247,97,75.709,1.15e-40,78058,Paenibacillus lentimorbus strain ATCC 14707 16S ribosomal RNA, partial sequence
unassigned_87,gi|636558400|ref|NR_114456.1|,247,97,75.709,1.15e-40,1212764,Paenibacillus popilliae ATCC 14706 16S ribosomal RNA, partial sequence
unassigned_87,gi|343200202|ref|NR_040889.1|,247,97,75.709,1.15e-40,78058,Paenibacillus lentimorbus strain ATCC 14707 16S ribosomal RNA, partial sequence
unassigned_87,gi|343200201|ref|NR_040888.1|,247,97,75.709,1.15e-40,1212764,Paenibacillus popilliae ATCC 14706 16S ribosomal RNA, partial sequence
unassigned_87,gi|343200200|ref|NR_040887.1|,247,97,75.709,1.15e-40,49283,Paenibacillus thiaminolyticus strain IFO 15656 16S ribosomal RNA, partial sequence
unassigned_88,gi|1384992377|ref|NR_156153.1|,247,97,74.899,5.96e-38,1837343,Paenibacillus qinlingensis strain TEGT-2 16S ribosomal RNA, partial sequence
unassigned_88,gi|343205969|ref|NR_044487.1|,247,97,74.494,2.54e-36,512399,Paenibacillus pectinilyticus strain RCB-08 16S ribosomal RNA, partial sequence
unassigned_88,gi|219846922|ref|NR_026514.1|,247,97,74.089,3.09e-35,33942,Brevibacillus thermoruber strain BT2 16S ribosomal RNA, partial sequence
unassigned_88,gi|672238868|ref|NR_125456.1|,245,96,73.878,3.76e-34,1125967,Brevibacillus fulvus strain K2814 16S ribosomal RNA, partial sequence
unassigned_88,gi|631251016|ref|NR_112213.1|,247,97,73.684,3.76e-34,33942,Brevibacillus thermoruber strain DSM 7064 16S ribosomal RNA, partial sequence
unassigned_88,gi|645320884|ref|NR_117986.1|,247,97,73.684,1.31e-33,927786,Brevibacillus aydinogluensis strain PDF25 16S ribosomal RNA, partial sequence
unassigned_88,gi|699005402|ref|NR_126271.1|,250,97,74.000,4.59e-33,1276110,Paenibacillus pinisoli strain NB5 16S ribosomal RNA, partial sequence
unassigned_88,gi|1779814798|ref|NR_164873.1|,247,97,73.279,1.60e-32,1850517,Paenibacillus oryzisoli strain 1ZS3-15 16S ribosomal RNA, partial sequence
unassigned_88,gi|343200127|ref|NR_040814.1|,244,95,73.770,5.59e-32,33968,Leuconostoc pseudomesenteroides strain NRIC 1777 16S ribosomal RNA, partial sequence
unassigned_88,gi|1269807821|ref|NR_074620.2|,244,96,73.361,5.59e-32,2118,Mycoplasma mobile strain 163K 16S ribosomal RNA, complete sequence
unassigned_89,gi|1776910884|ref|NR_164617.1|,253,100,73.913,5.96e-38,1871336,Criibacterium bergeronii strain CCRI-22567 16S ribosomal RNA, partial sequence
unassigned_89,gi|343206172|ref|NR_044762.1|,253,100,73.123,2.54e-36,948,Anaplasma phagocytophilum strain Webster 16S ribosomal RNA, partial sequence
unassigned_89,gi|631253192|ref|NR_114390.1|,254,100,73.622,8.85e-36,1306991,Pseudomaricurvus alkylphenolicus strain KU41G 16S ribosomal RNA, partial sequence
unassigned_89,gi|444304208|ref|NR_074633.1|,253,100,73.123,3.09e-35,293826,Alkaliphilus metalliredigens QYMF 16S ribosomal RNA, partial sequence
unassigned_89,gi|645321551|ref|NR_118489.1|,253,100,72.727,1.08e-34,331269,Anaplasma odocoilei strain UMUM76 16S ribosomal RNA, partial sequence
unassigned_89,gi|1109168006|ref|NR_144601.1|,136,75,83.088,1.31e-33,1641715,Sinobacterium norvegicum strain 3CM4 16S ribosomal RNA, partial sequence
unassigned_89,gi|1109168006|ref|NR_144601.1|,53,75,77.358,0.001,1641715,Sinobacterium norvegicum strain 3CM4 16S ribosomal RNA, partial sequence
unassigned_89,gi|1779814846|ref|NR_164921.1|,246,97,72.764,1.31e-33,2666033,Marinicaulis aureum strain HHTR114 16S ribosomal RNA, partial sequence
unassigned_89,gi|444303802|ref|NR_074224.1|,136,54,83.088,1.31e-33,335992,Candidatus Pelagibacter ubique HTCC1062 16S ribosomal RNA, partial sequence
unassigned_89,gi|566085305|ref|NR_109307.1|,136,75,83.088,1.31e-33,933926,Sinobacterium caligoides strain SCSWE24 16S ribosomal RNA, partial sequence
unassigned_89,gi|566085305|ref|NR_109307.1|,53,75,77.358,0.001,933926,Sinobacterium caligoides strain SCSWE24 16S ribosomal RNA, partial sequence
unassigned_89,gi|1227086132|ref|NR_148627.1|,254,100,72.835,4.59e-33,1080223,Arcobacter pacificus strain SW028 16S ribosomal RNA, partial sequence
unassigned_90,gi|631252980|ref|NR_114178.1|,253,98,70.751,5.28e-26,1192854,Granulosicoccus antarcticus IMCC3135 strain NBRC 102684 16S ribosomal RNA, partial sequence
unassigned_90,gi|219857403|ref|NR_024991.1|,254,98,71.260,6.43e-25,107820,Thioalkalivibrio nitratis strain ALJ12 16S ribosomal RNA, partial sequence
unassigned_90,gi|699005369|ref|NR_126238.1|,252,98,70.635,6.43e-25,1136073,Galenea microaerophila strain P2D 16S ribosomal RNA, partial sequence
unassigned_90,gi|219846389|ref|NR_025980.1|,253,98,70.356,7.83e-24,1238,Piscirickettsia salmonis strain LF-89 16S ribosomal RNA, partial sequence
unassigned_90,gi|343198433|ref|NR_041814.1|,253,98,70.751,7.83e-24,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_90,gi|343201039|ref|NR_041726.1|,252,98,70.238,2.73e-23,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_90,gi|1277396289|ref|NR_152000.1|,252,98,70.238,2.73e-23,1811807,Sulfuriflexus mobilis strain aks1 16S ribosomal RNA, partial sequence
unassigned_90,gi|219857544|ref|NR_025132.1|,253,98,70.356,2.73e-23,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_90,gi|343198987|ref|NR_044255.1|,254,98,70.472,2.73e-23,1192854,Granulosicoccus antarcticus IMCC3135 16S ribosomal RNA, partial sequence
unassigned_90,gi|631252462|ref|NR_113660.1|,246,96,70.325,9.54e-23,2121,Mycoplasma orale strain NBRC 14477 16S ribosomal RNA, partial sequence
unassigned_91,gi|602269352|ref|NR_044733.2|,239,97,95.397,3.08e-106,531,Polaribacter irgensii strain 23-P 16S ribosomal RNA, partial sequence
unassigned_91,gi|602269352|ref|NR_044733.2|,77,97,85.714,9.47e-18,531,Polaribacter irgensii strain 23-P 16S ribosomal RNA, partial sequence
unassigned_91,gi|959494963|ref|NR_133820.1|,239,97,94.561,5.57e-103,1333662,Polaribacter atrinae strain WP25 16S ribosomal RNA, partial sequence
unassigned_91,gi|959494963|ref|NR_133820.1|,78,97,84.615,3.30e-17,1333662,Polaribacter atrinae strain WP25 16S ribosomal RNA, partial sequence
unassigned_91,gi|1491521050|ref|NR_159336.1|,239,97,94.561,5.57e-103,2022337,Polaribacter staleyi strain 10Alg 139 16S ribosomal RNA, partial sequence
unassigned_91,gi|1491521050|ref|NR_159336.1|,78,97,84.615,3.30e-17,2022337,Polaribacter staleyi strain 10Alg 139 16S ribosomal RNA, partial sequence
unassigned_91,gi|343198523|ref|NR_042779.1|,239,97,94.561,5.57e-103,218490,Polaribacter butkevichii strain KMM 3938 16S ribosomal RNA, partial sequence
unassigned_91,gi|343198523|ref|NR_042779.1|,78,97,84.615,3.30e-17,218490,Polaribacter butkevichii strain KMM 3938 16S ribosomal RNA, partial sequence
unassigned_91,gi|566085325|ref|NR_109324.1|,239,97,94.561,5.57e-103,985043,Polaribacter sejongensis strain KOPRI 21160 16S ribosomal RNA, partial sequence
unassigned_91,gi|566085325|ref|NR_109324.1|,78,97,84.615,3.30e-17,985043,Polaribacter sejongensis strain KOPRI 21160 16S ribosomal RNA, partial sequence
unassigned_91,gi|219846368|ref|NR_025959.1|,239,97,94.142,6.79e-102,1248440,Polaribacter franzmannii ATCC 700399 strain 301 16S ribosomal RNA, partial sequence
unassigned_91,gi|219846368|ref|NR_025959.1|,78,97,83.333,1.40e-15,1248440,Polaribacter franzmannii ATCC 700399 strain 301 16S ribosomal RNA, partial sequence
unassigned_91,gi|631253123|ref|NR_114321.1|,239,97,93.724,2.89e-100,1137780,Polaribacter porphyrae strain LNM-20 16S ribosomal RNA, partial sequence
unassigned_91,gi|631253123|ref|NR_114321.1|,78,97,83.333,1.40e-15,1137780,Polaribacter porphyrae strain LNM-20 16S ribosomal RNA, partial sequence
unassigned_91,gi|1384992290|ref|NR_156039.1|,239,97,93.305,3.52e-99,1774273,Polaribacter vadi strain LPB0003 16S ribosomal RNA, partial sequence
unassigned_91,gi|1384992290|ref|NR_156039.1|,78,97,83.333,1.40e-15,1774273,Polaribacter vadi strain LPB0003 16S ribosomal RNA, partial sequence
unassigned_91,gi|1491509602|ref|NR_159133.1|,239,97,93.305,3.52e-99,1920034,Polaribacter tangerinus strain WS2-14 16S ribosomal RNA, partial sequence
unassigned_91,gi|1491509602|ref|NR_159133.1|,78,97,83.333,1.40e-15,1920034,Polaribacter tangerinus strain WS2-14 16S ribosomal RNA, partial sequence
unassigned_91,gi|1397641861|ref|NR_156971.1|,239,97,93.305,3.52e-99,1908341,Polaribacter litorisediminis strain OITF-11 16S ribosomal RNA, partial sequence
unassigned_91,gi|1397641861|ref|NR_156971.1|,78,97,83.333,1.40e-15,1908341,Polaribacter litorisediminis strain OITF-11 16S ribosomal RNA, partial sequence
unassigned_92,gi|645319988|ref|NR_117302.1|,255,98,72.157,6.95e-31,664789,Ferrovibrio denitrificans strain Sp-1 16S ribosomal RNA, partial sequence
unassigned_92,gi|645321869|ref|NR_118741.1|,251,97,72.112,8.47e-30,944,Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence
unassigned_92,gi|343206157|ref|NR_044747.1|,251,97,72.112,8.47e-30,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_92,gi|1491521034|ref|NR_159320.1|,255,98,71.765,2.96e-29,2059212,Ferrovibrio soli strain A15 16S ribosomal RNA, partial sequence
unassigned_92,gi|659364651|ref|NR_121714.1|,251,97,71.713,3.60e-28,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_92,gi|219846389|ref|NR_025980.1|,251,97,71.713,3.60e-28,1238,Piscirickettsia salmonis strain LF-89 16S ribosomal RNA, partial sequence
unassigned_92,gi|219846371|ref|NR_025962.1|,251,97,71.713,3.60e-28,35795,Ehrlichia muris strain AS145 16S ribosomal RNA, partial sequence
unassigned_92,gi|645321771|ref|NR_118660.1|,251,97,70.916,4.39e-27,28181,Magnetovibrio blakemorei strain MV-1 16S ribosomal RNA, partial sequence
unassigned_92,gi|310975195|ref|NR_037059.1|,251,97,71.315,4.39e-27,945,Ehrlichia chaffeensis strain Arkansas 16S ribosomal RNA, partial sequence
unassigned_92,gi|1270533066|ref|NR_074500.2|,251,97,71.315,4.39e-27,945,Ehrlichia chaffeensis strain Arkansas 16S ribosomal RNA, complete sequence
unassigned_93,gi|645319988|ref|NR_117302.1|,255,98,72.157,6.95e-31,664789,Ferrovibrio denitrificans strain Sp-1 16S ribosomal RNA, partial sequence
unassigned_93,gi|645321869|ref|NR_118741.1|,251,97,72.112,8.47e-30,944,Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence
unassigned_93,gi|343206157|ref|NR_044747.1|,251,97,72.112,8.47e-30,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_93,gi|1491521034|ref|NR_159320.1|,255,98,71.765,2.96e-29,2059212,Ferrovibrio soli strain A15 16S ribosomal RNA, partial sequence
unassigned_93,gi|659364651|ref|NR_121714.1|,251,97,71.713,3.60e-28,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_93,gi|444303802|ref|NR_074224.1|,251,97,71.713,3.60e-28,335992,Candidatus Pelagibacter ubique HTCC1062 16S ribosomal RNA, partial sequence
unassigned_93,gi|219846389|ref|NR_025980.1|,251,97,71.713,3.60e-28,1238,Piscirickettsia salmonis strain LF-89 16S ribosomal RNA, partial sequence
unassigned_93,gi|219846371|ref|NR_025962.1|,251,97,71.713,3.60e-28,35795,Ehrlichia muris strain AS145 16S ribosomal RNA, partial sequence
unassigned_93,gi|645321771|ref|NR_118660.1|,251,97,70.916,4.39e-27,28181,Magnetovibrio blakemorei strain MV-1 16S ribosomal RNA, partial sequence
unassigned_93,gi|310975195|ref|NR_037059.1|,251,97,71.315,4.39e-27,945,Ehrlichia chaffeensis strain Arkansas 16S ribosomal RNA, partial sequence
unassigned_94,gi|645319988|ref|NR_117302.1|,257,98,72.374,2.43e-30,664789,Ferrovibrio denitrificans strain Sp-1 16S ribosomal RNA, partial sequence
unassigned_94,gi|645321869|ref|NR_118741.1|,251,97,72.112,8.47e-30,944,Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence
unassigned_94,gi|343206157|ref|NR_044747.1|,251,97,72.112,8.47e-30,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_94,gi|219846389|ref|NR_025980.1|,256,98,72.656,2.96e-29,1238,Piscirickettsia salmonis strain LF-89 16S ribosomal RNA, partial sequence
unassigned_94,gi|1491521034|ref|NR_159320.1|,257,98,71.984,1.03e-28,2059212,Ferrovibrio soli strain A15 16S ribosomal RNA, partial sequence
unassigned_94,gi|659364651|ref|NR_121714.1|,251,97,71.713,3.60e-28,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_94,gi|219846371|ref|NR_025962.1|,251,97,71.713,3.60e-28,35795,Ehrlichia muris strain AS145 16S ribosomal RNA, partial sequence
unassigned_94,gi|219846424|ref|NR_026015.1|,258,98,71.705,4.39e-27,47960,Guyparkeria halophila strain DSM 6132 16S ribosomal RNA, partial sequence
unassigned_94,gi|470467096|ref|NR_074155.1|,251,97,71.315,4.39e-27,779,Ehrlichia ruminantium strain Welgevonden 16S ribosomal RNA, partial sequence
unassigned_94,gi|1269807825|ref|NR_074513.2|,251,97,70.916,1.53e-26,779,Ehrlichia ruminantium strain Welgevonden 16S ribosomal RNA, complete sequence
unassigned_95,gi|645319988|ref|NR_117302.1|,257,98,72.374,2.43e-30,664789,Ferrovibrio denitrificans strain Sp-1 16S ribosomal RNA, partial sequence
unassigned_95,gi|1491521034|ref|NR_159320.1|,257,98,71.984,1.03e-28,2059212,Ferrovibrio soli strain A15 16S ribosomal RNA, partial sequence
unassigned_95,gi|645321869|ref|NR_118741.1|,251,97,71.713,3.60e-28,944,Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence
unassigned_95,gi|343206157|ref|NR_044747.1|,251,97,71.713,3.60e-28,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_95,gi|219846389|ref|NR_025980.1|,252,97,72.222,3.60e-28,1238,Piscirickettsia salmonis strain LF-89 16S ribosomal RNA, partial sequence
unassigned_95,gi|659364651|ref|NR_121714.1|,251,97,71.315,4.39e-27,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_95,gi|444303802|ref|NR_074224.1|,251,97,71.315,4.39e-27,335992,Candidatus Pelagibacter ubique HTCC1062 16S ribosomal RNA, partial sequence
unassigned_95,gi|219846371|ref|NR_025962.1|,251,97,71.315,4.39e-27,35795,Ehrlichia muris strain AS145 16S ribosomal RNA, partial sequence
unassigned_95,gi|219846424|ref|NR_026015.1|,254,97,71.260,5.35e-26,47960,Guyparkeria halophila strain DSM 6132 16S ribosomal RNA, partial sequence
unassigned_95,gi|645321771|ref|NR_118660.1|,251,97,70.518,1.87e-25,28181,Magnetovibrio blakemorei strain MV-1 16S ribosomal RNA, partial sequence
unassigned_96,gi|645319988|ref|NR_117302.1|,257,98,72.374,2.43e-30,664789,Ferrovibrio denitrificans strain Sp-1 16S ribosomal RNA, partial sequence
unassigned_96,gi|645321869|ref|NR_118741.1|,251,97,72.112,8.47e-30,944,Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence
unassigned_96,gi|343206157|ref|NR_044747.1|,251,97,72.112,8.47e-30,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_96,gi|1491521034|ref|NR_159320.1|,257,98,71.984,1.03e-28,2059212,Ferrovibrio soli strain A15 16S ribosomal RNA, partial sequence
unassigned_96,gi|659364651|ref|NR_121714.1|,251,97,71.713,3.60e-28,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_96,gi|219846371|ref|NR_025962.1|,251,97,71.713,3.60e-28,35795,Ehrlichia muris strain AS145 16S ribosomal RNA, partial sequence
unassigned_96,gi|444303802|ref|NR_074224.1|,251,97,71.315,4.39e-27,335992,Candidatus Pelagibacter ubique HTCC1062 16S ribosomal RNA, partial sequence
unassigned_96,gi|470467096|ref|NR_074155.1|,251,97,71.315,4.39e-27,779,Ehrlichia ruminantium strain Welgevonden 16S ribosomal RNA, partial sequence
unassigned_96,gi|1269807825|ref|NR_074513.2|,251,97,70.916,1.53e-26,779,Ehrlichia ruminantium strain Welgevonden 16S ribosomal RNA, complete sequence
unassigned_96,gi|1230874639|ref|NR_148800.1|,252,97,71.825,1.53e-26,1242993,Ehrlichia minasensis strain UFMG-EV 16S ribosomal RNA, partial sequence
unassigned_97,gi|1384992336|ref|NR_156085.1|,249,98,72.289,2.36e-30,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_97,gi|343201039|ref|NR_041726.1|,249,98,71.888,2.88e-29,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_97,gi|219857544|ref|NR_025132.1|,250,98,70.800,1.49e-26,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_97,gi|602269297|ref|NR_044848.2|,250,98,70.800,5.21e-26,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_97,gi|265678934|ref|NR_029242.1|,250,98,70.800,1.82e-25,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_97,gi|224581446|ref|NR_027228.1|,247,97,71.255,2.21e-24,72026,Helcococcus ovis strain s840-96-2 16S ribosomal RNA, partial sequence
unassigned_97,gi|959494919|ref|NR_133783.1|,250,98,70.400,2.21e-24,980561,Methylomonas lenta strain R-45377 16S ribosomal RNA, partial sequence
unassigned_97,gi|566085154|ref|NR_108887.1|,250,98,70.400,2.21e-24,1173101,Methylomonas paludis strain MG30 16S ribosomal RNA, partial sequence
unassigned_97,gi|219846518|ref|NR_026110.1|,250,98,70.400,2.21e-24,39772,Methylomonas fodinarum strain JB13 16S ribosomal RNA, partial sequence
unassigned_97,gi|343198433|ref|NR_041814.1|,250,98,70.400,2.21e-24,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_98,gi|1384992336|ref|NR_156085.1|,250,98,73.200,1.60e-32,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_98,gi|343201039|ref|NR_041726.1|,250,98,72.800,1.95e-31,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_98,gi|219857544|ref|NR_025132.1|,251,98,71.713,1.01e-28,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_98,gi|602267027|ref|NR_044663.2|,249,97,72.289,3.53e-28,2089,Anaeroplasma varium strain A2-T 16S ribosomal RNA, partial sequence
unassigned_98,gi|602269297|ref|NR_044848.2|,251,98,71.713,3.53e-28,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_98,gi|265678934|ref|NR_029242.1|,251,98,71.713,1.23e-27,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_98,gi|959494919|ref|NR_133783.1|,251,98,71.315,1.50e-26,980561,Methylomonas lenta strain R-45377 16S ribosomal RNA, partial sequence
unassigned_98,gi|566085154|ref|NR_108887.1|,251,98,71.315,1.50e-26,1173101,Methylomonas paludis strain MG30 16S ribosomal RNA, partial sequence
unassigned_98,gi|219846518|ref|NR_026110.1|,251,98,71.315,1.50e-26,39772,Methylomonas fodinarum strain JB13 16S ribosomal RNA, partial sequence
unassigned_98,gi|343198433|ref|NR_041814.1|,251,98,71.315,1.50e-26,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_99,gi|1384992336|ref|NR_156085.1|,231,99,71.429,4.73e-26,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_99,gi|343201039|ref|NR_041726.1|,231,99,70.996,2.01e-24,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_99,gi|602267027|ref|NR_044663.2|,234,100,71.368,7.02e-24,2089,Anaeroplasma varium strain A2-T 16S ribosomal RNA, partial sequence
unassigned_99,gi|219857544|ref|NR_025132.1|,231,99,70.130,8.55e-23,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_99,gi|602267012|ref|NR_044675.2|,236,100,71.610,1.04e-21,2088,Anaeroplasma bactoclasticum strain JR 16S ribosomal RNA, partial sequence
unassigned_99,gi|602269297|ref|NR_044848.2|,231,99,69.697,1.27e-20,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_99,gi|265678934|ref|NR_029242.1|,231,99,69.697,1.27e-20,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_99,gi|219846939|ref|NR_026531.1|,232,100,69.828,4.43e-20,45497,[Clostridium] ultunense strain BS 16S ribosomal RNA, partial sequence
unassigned_99,gi|645320093|ref|NR_117382.1|,232,100,69.828,4.43e-20,253256,Soehngenia saccharolytica strain DSM 12858 16S ribosomal RNA, partial sequence
unassigned_99,gi|645320089|ref|NR_117379.1|,232,100,69.828,4.43e-20,865861,[Clostridium] ultunense DSM 10521 16S ribosomal RNA, partial sequence
unassigned_100,gi|1384992336|ref|NR_156085.1|,249,98,72.289,2.36e-30,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_100,gi|343201039|ref|NR_041726.1|,249,98,71.888,2.88e-29,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_100,gi|602267027|ref|NR_044663.2|,255,100,71.765,1.01e-28,2089,Anaeroplasma varium strain A2-T 16S ribosomal RNA, partial sequence
unassigned_100,gi|602267012|ref|NR_044675.2|,257,100,71.984,1.49e-26,2088,Anaeroplasma bactoclasticum strain JR 16S ribosomal RNA, partial sequence
unassigned_100,gi|219857544|ref|NR_025132.1|,254,100,70.866,5.21e-26,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_100,gi|602269297|ref|NR_044848.2|,254,100,70.866,1.82e-25,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_100,gi|265678934|ref|NR_029242.1|,254,100,70.866,1.82e-25,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_100,gi|645322278|ref|NR_119066.1|,253,100,70.356,2.21e-24,1490,Paraclostridium bifermentans strain ATCC 638 16S ribosomal RNA, partial sequence
unassigned_100,gi|1230874654|ref|NR_148815.1|,253,100,70.356,2.21e-24,1629550,Paraclostridium benzoelyticum strain JC272 16S ribosomal RNA, partial sequence
unassigned_100,gi|343202688|ref|NR_043101.1|,253,100,70.356,2.21e-24,286803,Sporacetigenium mesophilum strain ZLJ115 16S ribosomal RNA, partial sequence
unassigned_101,gi|602267027|ref|NR_044663.2|,246,97,71.138,1.49e-26,2089,Anaeroplasma varium strain A2-T 16S ribosomal RNA, partial sequence
unassigned_101,gi|602267012|ref|NR_044675.2|,246,97,70.732,6.35e-25,2088,Anaeroplasma bactoclasticum strain JR 16S ribosomal RNA, partial sequence
unassigned_101,gi|974142220|ref|NR_134740.1|,250,98,69.200,4.88e-20,1524256,Granulosicoccus undariae strain W-BA3 16S ribosomal RNA, partial sequence
unassigned_101,gi|1441204237|ref|NR_157652.1|,250,98,69.200,4.88e-20,2056700,Cysteiniphilum litorale strain SYSU D3-2 16S ribosomal RNA, partial sequence
unassigned_101,gi|636558635|ref|NR_114692.1|,249,97,69.880,4.88e-20,143361,Filifactor alocis strain ATCC 35896 16S ribosomal RNA, partial sequence
unassigned_101,gi|444304220|ref|NR_074645.1|,249,97,69.880,4.88e-20,143361,Filifactor alocis strain ATCC 35896 16S ribosomal RNA, partial sequence
unassigned_101,gi|343198585|ref|NR_042958.1|,249,97,70.281,4.88e-20,264636,Acholeplasma hippikon strain C1 16S ribosomal RNA, partial sequence
unassigned_101,gi|343206157|ref|NR_044747.1|,256,100,69.922,1.70e-19,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
unassigned_101,gi|659364651|ref|NR_121714.1|,256,100,69.922,1.70e-19,1423892,Ehrlichia muris AS145 16S ribosomal RNA, partial sequence
unassigned_101,gi|224581446|ref|NR_027228.1|,246,97,69.106,1.70e-19,72026,Helcococcus ovis strain s840-96-2 16S ribosomal RNA, partial sequence
unassigned_102,gi|602267027|ref|NR_044663.2|,246,97,71.545,3.51e-28,2089,Anaeroplasma varium strain A2-T 16S ribosomal RNA, partial sequence
unassigned_102,gi|602267012|ref|NR_044675.2|,246,97,71.138,1.49e-26,2088,Anaeroplasma bactoclasticum strain JR 16S ribosomal RNA, partial sequence
unassigned_102,gi|444303879|ref|NR_074301.1|,244,96,70.492,9.42e-23,512564,Mycoplasma crocodyli MP145 16S ribosomal RNA, partial sequence
unassigned_102,gi|228716184|ref|NR_027548.1|,244,96,70.492,9.42e-23,512564,Mycoplasma crocodyli MP145 16S ribosomal RNA, partial sequence
unassigned_102,gi|343201039|ref|NR_041726.1|,249,98,69.880,3.29e-22,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_102,gi|645321986|ref|NR_118838.1|,245,96,70.204,3.29e-22,747682,Mycoplasma alligatoris A21JP2 16S ribosomal RNA, partial sequence.
unassigned_102,gi|343201129|ref|NR_041844.1|,245,96,70.204,3.29e-22,747682,Mycoplasma alligatoris A21JP2 16S ribosomal RNA, partial sequence.
unassigned_102,gi|343198585|ref|NR_042958.1|,249,97,70.683,4.00e-21,264636,Acholeplasma hippikon strain C1 16S ribosomal RNA, partial sequence
unassigned_102,gi|1384992336|ref|NR_156085.1|,249,98,69.478,4.00e-21,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_102,gi|343206157|ref|NR_044747.1|,256,100,70.312,1.40e-20,947,Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence
